# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             439   N   00000574   00004ee1   00000578   ---        --------
             440   N   00000578   02000e13   0000057a   x29_t4     00000018
             441   N   0000057a   4ee19563   0000057e   x28_t3     00000020
             443   N   0000057e   00004201   00000582   ---        --------
             444   N   00000582   0000412d   00000584   x04_tp     00000000
             445   N   00000584   00000001   00000586   x02_sp     0000000b
             446   N   00000586   000040b9   00000588   ---        --------
             447   N   00000588   00000001   0000058a   x01_ra     0000000e
             448   N   0000058a   002081b3   0000058c   ---        --------
             449   N   0000058c   00000205   00000590   x03_gp     00000019
             450   N   00000590   00004289   00000592   x04_tp     00000001
             451   N   00000592   fe5218e3   00000594   x05_t0     00000002
             452   N   00000594   00004ee5   00000584   ---        --------
             455   N   00000584   00000001   00000586   x02_sp     0000000b
             456   N   00000586   000040b9   00000588   ---        --------
             457   N   00000588   00000001   0000058a   x01_ra     0000000e
             458   N   0000058a   002081b3   0000058c   ---        --------
             459   N   0000058c   00000205   00000590   x03_gp     00000019
             460   N   00000590   00004289   00000592   x04_tp     00000002
             461   N   00000592   fe5218e3   00000594   x05_t0     00000002
             462   N   00000594   00004ee5   00000598   ---        --------
             463   N   00000598   02100e13   0000059a   x29_t4     00000019
             464   N   0000059a   4ee59563   0000059e   x28_t3     00000021
             466   N   0000059e   00004201   000005a2   ---        --------
             467   N   000005a2   0000412d   000005a4   x04_tp     00000000
             468   N   000005a4   00000001   000005a6   x02_sp     0000000b
             469   N   000005a6   00000001   000005a8   ---        --------
             470   N   000005a8   000040bd   000005aa   ---        --------
             471   N   000005aa   002081b3   000005ac   x01_ra     0000000f
             472   N   000005ac   00000205   000005b0   x03_gp     0000001a
             473   N   000005b0   00004289   000005b2   x04_tp     00000001
             474   N   000005b2   fe5218e3   000005b4   x05_t0     00000002
             475   N   000005b4   00004ee9   000005a4   ---        --------
             478   N   000005a4   00000001   000005a6   x02_sp     0000000b
             479   N   000005a6   00000001   000005a8   ---        --------
             480   N   000005a8   000040bd   000005aa   ---        --------
             481   N   000005aa   002081b3   000005ac   x01_ra     0000000f
             482   N   000005ac   00000205   000005b0   x03_gp     0000001a
             483   N   000005b0   00004289   000005b2   x04_tp     00000002
             484   N   000005b2   fe5218e3   000005b4   x05_t0     00000002
             485   N   000005b4   00004ee9   000005b8   ---        --------
             486   N   000005b8   02200e13   000005ba   x29_t4     0000001a
             487   N   000005ba   4ee99563   000005be   x28_t3     00000022
             489   N   000005be   000040bd   000005c2   ---        --------
             490   N   000005c2   00008106   000005c4   x01_ra     0000000f
             491   N   000005c4   00004ebd   000005c6   x02_sp     0000000f
             492   N   000005c6   02300e13   000005c8   x29_t4     0000000f
             493   N   000005c8   03d11e63   000005cc   x28_t3     00000023
             494   N   000005cc   02000093   000005d0   ---        --------
             495   N   000005d0   00008133   000005d4   x01_ra     00000020
             496   N   000005d4   02000e93   000005d8   x02_sp     00000020
             497   N   000005d8   02400e13   000005dc   x29_t4     00000020
             498   N   000005dc   03d11463   000005e0   x28_t3     00000024
             499   N   000005e0   000000b3   000005e4   ---        --------
             500   N   000005e4   00004e81   000005e8   x01_ra     00000000
             501   N   000005e8   02500e13   000005ea   x29_t4     00000000
             502   N   000005ea   4e819d63   000005ee   x28_t3     00000025
             504   N   000005ee   000040c1   000005f2   ---        --------
             505   N   000005f2   00004179   000005f4   x01_ra     00000010
             506   N   000005f4   00208033   000005f6   x02_sp     0000001e
             507   N   000005f6   00004e81   000005fa   ---        --------
             508   N   000005fa   02600e13   000005fc   x29_t4     00000000
             509   N   000005fc   01d01463   00000600   x28_t3     00000026
             510   N   00000600   01c01863   00000604   ---        --------
             511   N   00000604   0ff0000f   00000614   ---        --------
             514   N   00000614   000085f2   00000618   ---        --------
             515   N   00000618   00004501   0000061a   x11_a1     00000026
             516   N   0000061a   00000073   0000061c   x10_a0     00000000
             517   E   0000061c   00000073   000001c0   mstatus    00001800
             517   E   0000061c   00000073   000001c0   mepc       0000061c
             517   E   0000061c   00000073   000001c0   mcause     0000000b
             517   E   0000061c   00000073   000001c0   mtval      00000000
             520   N   000001c0   000047a1   000001c4   x14_a4     0000000b
             521   N   000001c4   02f70263   000001c6   x15_a5     00000008
             522   N   000001c6   000047a5   000001ca   ---        --------
             523   N   000001ca   00f70f63   000001cc   x15_a5     00000009
             524   N   000001cc   000047ad   000001d0   ---        --------
             525   N   000001d0   00f70c63   000001d2   x15_a5     0000000b
             526   N   000001d2   47ad0713   000001ea   ---        --------
             530   N   000001ea   07130013   00000640   ---        --------
             533   N   00000640   ab428293   00000644   x05_t0     00000640
             534   N   00000644   00008282   00000648   x05_t0     000000f4
             535   N   00000648   00000013   000000f4   ---        --------
             538   N   000000f4   0000006f   000000f8   ---        --------
             539   N   000000f8   ffffffff   000000f8   ---        --------
